1,mitigate,abate; curtail; temper; ameliorate,缓和
2,anomaly,aberration,异常
3,quiescent,abeyant; calm,不活跃的，静止的
4,unprecedented,abnormal,前所未有的
5,proliferate,abound,激增
6,synoptic,abridged,概要的
7,exonerate,absolve,免罪
8,general,abstract,笼统的
9,regular,abundant,常出现的
10,misuse,abuse,误用
11,acquiescence,accession,默许
12,hail,acclaim,称赞
13,consensus,accord,一致意见
14,caustic,acerbic,尖刻的
15,mordant,acerbic,尖刻的
16,vitriolic,acerbic;opprobrium,尖酸刻薄的
17,realize,achieve,实现
18,concede,acknowledge,承认
19,accession,acquiescence,遵守
20,flexibility,adaptability; suppleness; malleability,灵活性，适应性
21,proficient,adept,精通的
22,disciple,adherent,信徒
23,nimble,adroit; dexterous; skillful,敏捷的
24,approbation,adulation; commendation,赞同
25,antagonistic,adversarial; inimical,敌对的
26,easygoing,affable,悠闲的
27,kindred,affiliated,同类的，相似的
28,opulent,affluent,富裕的
29,exacerbate,aggravate,使恶化
30,unsettle,alarm; disconcert,使不安
31,beneficence,altruism,慈善，善行
32,benevolent,altruistic; magnanimous,仁慈的
33,wondrous,amazing,奇妙的
34,equivocal,ambiguous,模棱两可的
35,comparable,analogous,相似的
36,galvanize,animate; rouse,激励
37,aberration,anomaly,异常
38,irregularity,anomaly,异常
39,obscure,anonymous; opaque; obfuscate,1.不出名的 2.费解的3.使费解
40,adversarial,antagonistic,对立的
41,inimical,antagonistic; deleterious,1.有害的 2.不友好的
42,predate,antedate; precede,早于
43,archaic,antediluvian; outdated,古老的
44,foresee,anticipate,预见
45,prefigure,anticipate,预示
46,indifferent,apathy,冷漠
47,palatable,appetizing,好吃的
48,extol,applaud,赞扬
49,fitting,apposite,适合的
50,commendation,approbation,称赞
51,adulation,approbation; sycophant,谄媚
52,pilfer,appropriate,偷窃
53,antediluvian,archaic,过时的
54,laborious,arduous,勤劳的
55,taxing,arduous,费劲的
56,hubris,arrogance,傲慢自大的
57,specious,artificial; forged; fabricated; spurious,虚假的
58,spurious,artificial; implausible,虚假的
59,simplicity,artlessness,简单，简朴
60,slur,aspersion,贬低
61,maintain,assert,断言
62,expansion,augmentation; burgeoning,扩张，增长
63,favorable,auspicious,有利的
64,propitious,auspicious,吉利的
65,spartan,austere,朴素的
66,abstemious,austere; moderate,有节制的
67,reflexive,automatic,本能的，无意识的
68,rapacious,avaricious,贪婪的
69,ungainly,awkward,笨拙的，不优雅的
70,stale,banal,陈旧的，厌倦的
71,raillery,banter,开玩笑
72,untenable,baseless,站不住脚的
73,indebted,beholden,感激的
74,mask,belie,掩饰
75,boon,benefit; windfall,好处，恩惠
76,altruistic,benevolent,无私的
77,signify,betoken,表明
78,orientation,bias,目标，态度
79,unimpeachable,blameless,毋庸置疑的
80,insipid,bland,枯燥乏味的
81,brandish,boast,炫耀
82,buttress,bolster,支持
83,appropriate,borrow,挪用
84,boast,brandish,吹嘘，自夸
85,economy,brevity,节约
86,splendor,brilliance,华丽，显赫
87,tolerate,brook,容许
88,pastoral,bucolic,乡村的
89,nascent,budding; unformed,刚出现的
90,insulated from,buffered against,与隔绝
91,onerous,burdensome,繁重的
92,no-nonsense,businesslike,严肃的，高效干练的
93,bolster,buttress; prop up,支持
94,circumvent,bypass; sidestep; skirt,避开
95,deliberate,calculated,故意的
96,heartless,callous,残酷的
97,solidarity,camaraderie,团结
98,mimic,camouflage; replicate,1.模仿 2.和.相似
99,formulaic,canned,老套的，公式化的
100,deft,canny,灵巧的
101,shrewd,canny; artful,精明的
102,arbitrary,capricious,随意的，武断的
103,whimsical,capricious,难以预测的
104,impulsive,capricious; hasty,冲动的
105,secure,capture; earn,获得
106,vigilant,careful,警惕的
107,chastise,castigate,严厉批评
108,shriek,caterwaul,尖叫
109,relinquish,cede,放弃
110,dispatch,celerity,迅速
111,disapprobation,censure,谴责
112,defend,champion,为做辩护
113,espouse,champion ;advocate ;defend,拥护
114,allure,charm,引诱
115,castigate,chastise,严厉批评
116,stem,check,阻止
117,prudent,circumspect; provident,审慎的
118,contingent,circumstantial,取决于
119,sidestep,circumvent,回避
120,bypass,circumvent; skirt,避开
121,comity,civility,友谊
122,covert,clandestine,秘密的
123,archetypical,classic,典型的
124,orderly,coherent,有秩序的
125,immense,colossal,巨大的
126,meld,combine,混合
127,civility,comity,礼貌
128,equivalent,commensurate,相同的，等价的
129,unremarkable,commonplace,普通的
130,analogous,comparable,类似的
131,offset,compensate,补偿，抵消
132,placidity,complacency,满足，平和
133,tractable,compliant,驯服的，温顺的
134,knotty,complicated,复杂的，棘手的
135,acknowledge,concede,承认
136,plausible,conceivable,1.真实的 2.看似真实(但实际虚假)
137,decry,condemn,公开谴责
138,meet,condign,合适的
139,circumscribe,confine; limit,限制
140,hew to,conform to,遵守
141,square with,conform to,与一致
142,flummox,confound,使困惑
143,perplex,confound; baffle,迷惑
144,muddle,confuse,使混乱
145,speculation,conjecture,推测
146,obtrusive,conspicuous,惹眼的
147,prominent,conspicuous; salient,显著的
148,deter,constrain,阻止
149,ponder,contemplate,深思熟虑
150,competing,contending,竞争的
151,discordance,contention,不一致
152,controversial,contentious,有争议的
153,circumstantial,contingent,依情况而定的
154,dwindle,contract,逐渐减小，逐渐变小
155,dichotomous,contradictory,矛盾的
156,violate,contravene,违反
157,contentious,controversial,好争议的
158,riddle,conundrum; enigma; puzzle,谜
159,intricate,convoluted,错综复杂的
160,tortuous,convoluted,冗长复杂的
161,upheaval,convulsion,剧变
162,deleterious,counterproductive; detrimental;devastating; pernicious,有害的，有毒的
163,clandestine,covert; surreptitious,秘密的
164,enviable,coveted,令人羡慕的
165,cunning,crafty,狡猾的
